,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,0.5,t_step,,,,,,,,,,,,,,,,,,
Total population size,,,,,5234,tot_popn,,,,,,,,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,,,,,,,,
R0,,,,,2.1,R0,,,,,,,,,,,,,,,,,,
Proportion immune at the start,,,,,0.3,prop_immune_0,,,,,,,,,,,,,,,,,,
Proportion of those infectious who are reported as cases,,,,,0.8,prop_reported,,,,,,,,,,,,,,,,,,
Number infectious at the start,,,,,2,infous_0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.000100306,beta,,,,,,,,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.25,infous_rate,,,,,,,,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.25,rec_rate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Goodness of fit (loglikelihood deviance),,,1733.264549,,,,,,,,,,,,,,,,,,,,,
7,3653.795921,2.492417072,2.058210406,1575.653452,0.591918433,0.473534746,6.009329649,,,98,30/11,11,23.19026599,11.39079284,15.376848,,,,,,,,,
7.5,3653.041594,2.623639784,2.166762073,1576.168004,0.623104268,0.498483414,,,,,,,,,,,,,,,,,,
8,3652.247647,2.761676683,2.2809815,1576.709695,0.655909946,0.524727957,,,,,,,,,,,,,,,,,,
8.5,3651.412029,2.906875088,2.401155296,1577.27994,0.690419171,0.552335337,,,,,,,,,,,,,,,,,,
9,3650.532589,3.05959725,2.527585244,1577.880229,0.726718772,0.581375018,,,,,,,,,,,,,,,,,,
9.5,3649.607065,3.220221812,2.660588246,1578.512125,0.764899313,0.61191945,,,,,,,,,,,,,,,,,,
10,3648.633086,3.38914484,2.800496637,1579.177272,0.805055453,0.644044362,,,,,,,,,,,,,,,,,,
10.5,3647.608164,3.566780671,2.947658688,1579.877397,0.84728621,0.677828968,,,,,,,,,,,,,,,,,,
11,3646.529687,3.75356268,3.102439184,1580.614311,0.891695168,0.713356134,,,,,,,,,,,,,,,,,,
11.5,3645.394915,3.949944022,3.265220058,1581.389921,0.93839067,0.750712536,,,,,,,,,,,,,,,,,,
12,3644.200975,4.156398351,3.436401049,1582.206226,0.987486005,0.789988804,,,,,,,,,,,,,,,,,,
12.5,3642.944853,4.373420549,3.616400374,1583.065326,1.039099588,0.83127967,,,,,,,,,,,,,,,,,,
13,3641.623391,4.601527438,3.805655418,1583.969426,1.093355137,0.87468411,,,,,,,,,,,,,,,,,,
13.5,3640.233278,4.841258492,4.004623423,1584.92084,1.150381859,0.920305488,,,,,,,,,,,,,,,,,,
14,3638.771045,5.093176542,4.21378219,1585.921996,1.210314623,0.968251698,9.939292946,,,,,,,,,,,,,,,,,
14.5,3637.233059,5.357868464,4.433630778,1586.975442,1.273294135,1.018635308,,,,,,,,,,,,,,,,,,
