,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,1,t_step,,,,,,,,,,,
Total population size,,,,,100000,tot_popn,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,
R0,,,,,2,R0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.00001,beta,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.5,infous_rate,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.5,rec_rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
16,99951.9629,14.35837508,10.15496977,23.52375222,8.410144624,5.948230451,,100000,,,98703.10253,645.5564666,651.3410063,429.1188448,,,
17,99941.81281,17.32927915,12.25667242,28.60123711,10.15009161,7.179187538,,100000,,,98065.91827,959.9624944,974.1192395,637.1842611,,,
18,99929.56327,20.91418018,14.79297579,34.72957332,12.24954061,8.664639575,,100000,,,97124.52223,1421.377282,1454.100487,941.3960351,,,
19,99914.78071,25.23964619,17.85357798,42.12606121,14.7825561,10.45709009,,100000,,,95744.01634,2091.194536,2164.789128,1380.505895,,,
20,99896.94235,30.45818639,21.54661209,51.0528502,17.83836329,12.61982309,,100000,,,93741.8227,3047.790906,3210.386396,2002.193638,,,
21,99875.41794,36.75349985,26.00239924,61.82615624,21.52440665,15.22909319,,100000,,,90884.76795,4380.9502,4734.281849,2857.054747,,,
22,99849.44794,44.34675484,31.37794954,74.82735586,25.97000491,18.37674992,,100000,,,86903.15153,6172.091523,6924.756949,3981.616423,,,
23,99818.11723,53.50408681,37.86235219,90.51633063,31.33070939,22.17337742,,100000,,,81539.40948,8449.787811,10010.80271,5363.742049,,,
24,99780.32374,64.5455305,45.6832195,109.4475067,37.79348709,26.75204341,,100000,,,74649.5024,11114.80099,14235.69662,6889.907083,,,
25,99734.74088,77.85562956,55.114375,132.2891165,45.58286431,32.27276525,,100000,,,66352.35877,13854.54412,19793.09711,8297.14363,,,
26,99679.7727,93.89599388,66.48500228,159.846304,54.96817909,38.92781478,,100000,,,57159.54194,16120.08888,26720.36917,9192.816823,,,
27,99613.5006,113.2200961,80.19049808,193.0888051,66.27209915,46.94799694,,100000,,,47945.37298,17274.21341,34780.41361,9214.168967,,,
28,99533.62004,136.4906103,96.70529709,233.1840542,79.88056229,56.61004805,,100000,,,39663.18693,16919.29275,43417.52032,8282.186048,,,
29,99437.36576,164.4995881,116.5979537,281.5367027,96.25428296,68.24530517,,100000,,,32952.45622,15170.37709,51877.1667,6710.730711,,,
